State|County|Party|Candidate|Num|Percent|Won
wyoming|Park |Lib|G. Johnson|      252|1.7%|False
wyoming|Park |Dem|B. Obama (i)|     2,927|20.2%|False
wyoming|Natrona |CST|V. Goode|      241|0.8%|False
wyoming|Natrona |GOP|M. Romney|    22,129|69.0%|True
wyoming|Natrona |Lib|G. Johnson|      727|2.3%|False
wyoming|Natrona |Dem|B. Obama (i)|     8,960|28.0%|False
wyoming|Washakie |CST|V. Goode|       30|0.8%|False
wyoming|Washakie |GOP|M. Romney|     3,013|77.0%|True
wyoming|Washakie |Lib|G. Johnson|       74|1.9%|False
wyoming|Washakie |Dem|B. Obama (i)|      794|20.3%|False
wyoming|Fremont |CST|V. Goode|       93|0.6%|False
wyoming|Fremont |GOP|M. Romney|    11,072|65.8%|True
wyoming|Fremont |Lib|G. Johnson|      319|1.9%|False
wyoming|Fremont |Dem|B. Obama (i)|     5,333|31.7%|False
wyoming|Teton |CST|V. Goode|       15|0.1%|False
wyoming|Teton |Dem|B. Obama (i)|     6,211|54.7%|True
wyoming|Teton |Lib|G. Johnson|      272|2.4%|False
wyoming|Teton |GOP|M. Romney|     4,858|42.8%|False
wyoming|Albany |CST|V. Goode|       85|0.5%|False
wyoming|Albany |GOP|M. Romney|     7,851|48.9%|True
wyoming|Albany |Lib|G. Johnson|      671|4.2%|False
wyoming|Albany |Dem|B. Obama (i)|     7,445|46.4%|False
wyoming|Laramie |CST|V. Goode|      238|0.6%|False
wyoming|Laramie |GOP|M. Romney|    23,247|61.1%|True
wyoming|Laramie |Lib|G. Johnson|      765|2.0%|False
wyoming|Laramie |Dem|B. Obama (i)|    13,807|36.3%|False
wyoming|Niobrara |CST|V. Goode|       16|1.3%|False
wyoming|Niobrara |GOP|M. Romney|     1,022|80.6%|True
wyoming|Niobrara |Lib|G. Johnson|       30|2.4%|False
wyoming|Niobrara |Dem|B. Obama (i)|      200|15.8%|False
wyoming|Sheridan |CST|V. Goode|       50|0.4%|False
wyoming|Sheridan |GOP|M. Romney|    10,267|72.2%|True
wyoming|Sheridan |Lib|G. Johnson|      290|2.0%|False
wyoming|Sheridan |Dem|B. Obama (i)|     3,618|25.4%|False
wyoming|Campbell |CST|V. Goode|       70|0.4%|False
wyoming|Campbell |GOP|M. Romney|    14,952|85.6%|True
wyoming|Campbell |Lib|G. Johnson|      292|1.7%|False
wyoming|Campbell |Dem|B. Obama (i)|     2,163|12.4%|False
wyoming|Crook |CST|V. Goode|       20|0.5%|False
wyoming|Crook |GOP|M. Romney|     3,109|85.0%|True
wyoming|Crook |Lib|G. Johnson|      102|2.8%|False
wyoming|Crook |Dem|B. Obama (i)|      426|11.6%|False
colorado|Logan |WTP|S. Tittle|        4|0.0%|False
colorado|Logan |Obj|T. Stevens|        2|0.0%|False
colorado|Logan |PSL|G. La Riva|        0|0.0%|False
colorado|Logan |Lib|G. Johnson|       78|0.9%|False
colorado|Logan |Una|J. Reed|       27|0.3%|False
colorado|Logan |AmC|V. Goode|       45|0.5%|False
colorado|Logan |SEP|J. White|        0|0.0%|False
colorado|Logan |JP|R. Anderson|        6|0.1%|False
colorado|Logan |SPU|S. Alexander|        2|0.0%|False
colorado|Logan |PFP|R. Barr|       43|0.5%|False
colorado|Logan |Dem|B. Obama (i)|     2,675|29.6%|False
colorado|Logan |ATP|M. Miller|        0|0.0%|False
colorado|Logan |SWP|J. Harris|        2|0.0%|False
colorado|Logan |Grn|J. Stein|       15|0.2%|False
colorado|Logan |AmP|T. Hoefling|        7|0.1%|False
colorado|Logan |GOP|M. Romney|     6,124|67.8%|True
colorado|Montrose |WTP|S. Tittle|        9|0.0%|False
colorado|Montrose |Obj|T. Stevens|        1|0.0%|False
colorado|Montrose |PSL|G. La Riva|        3|0.0%|False
colorado|Montrose |Lib|G. Johnson|      191|1.0%|False
colorado|Montrose |Una|J. Reed|       23|0.1%|False
colorado|Montrose |AmC|V. Goode|       73|0.4%|False
colorado|Montrose |SEP|J. White|        1|0.0%|False
colorado|Montrose |JP|R. Anderson|        6|0.0%|False
colorado|Montrose |SPU|S. Alexander|        3|0.0%|False
colorado|Montrose |PFP|R. Barr|       56|0.3%|False
colorado|Montrose |Dem|B. Obama (i)|     5,852|30.7%|False
colorado|Montrose |ATP|M. Miller|        1|0.0%|False
colorado|Montrose |AmP|T. Hoefling|        1|0.0%|False
colorado|Montrose |Grn|J. Stein|       42|0.2%|False
colorado|Montrose |SWP|J. Harris|        3|0.0%|False
colorado|Montrose |GOP|M. Romney|    12,789|67.1%|True
colorado|Clear Creek |WTP|S. Tittle|        0|0.0%|False
colorado|Clear Creek |Obj|T. Stevens|        0|0.0%|False
colorado|Clear Creek |PSL|G. La Riva|        0|0.0%|False
colorado|Clear Creek |Lib|G. Johnson|      112|2.0%|False
colorado|Clear Creek |Una|J. Reed|       10|0.2%|False
colorado|Clear Creek |AmC|V. Goode|       13|0.2%|False
colorado|Clear Creek |SEP|J. White|        0|0.0%|False
colorado|Clear Creek |JP|R. Anderson|        2|0.0%|False
colorado|Clear Creek |SPU|S. Alexander|        0|0.0%|False
colorado|Clear Creek |PFP|R. Barr|       28|0.5%|False
colorado|Clear Creek |Dem|B. Obama (i)|     3,041|54.2%|True
colorado|Clear Creek |ATP|M. Miller|        2|0.0%|False
colorado|Clear Creek |SWP|J. Harris|        0|0.0%|False
colorado|Clear Creek |Grn|J. Stein|       17|0.3%|False
colorado|Clear Creek |AmP|T. Hoefling|        4|0.1%|False
colorado|Clear Creek |GOP|M. Romney|     2,381|42.4%|False
colorado|Saguache |WTP|S. Tittle|        2|0.1%|False
colorado|Saguache |Obj|T. Stevens|        0|0.0%|False
colorado|Saguache |PSL|G. La Riva|        0|0.0%|False
colorado|Saguache |Lib|G. Johnson|       47|1.7%|False
colorado|Saguache |PFP|R. Barr|        6|0.2%|False
colorado|Saguache |AmC|V. Goode|       10|0.4%|False
colorado|Saguache |SEP|J. White|        0|0.0%|False
colorado|Saguache |JP|R. Anderson|        6|0.2%|False
colorado|Saguache |SPU|S. Alexander|        1|0.0%|False
colorado|Saguache |Una|J. Reed|        8|0.3%|False
colorado|Saguache |Dem|B. Obama (i)|     1,762|63.0%|True
colorado|Saguache |ATP|M. Miller|        0|0.0%|False
colorado|Saguache |AmP|T. Hoefling|        0|0.0%|False
colorado|Saguache |Grn|J. Stein|       17|0.6%|False
colorado|Saguache |SWP|J. Harris|        0|0.0%|False
colorado|Saguache |GOP|M. Romney|      937|33.5%|False
colorado|Prowers |WTP|S. Tittle|        2|0.0%|False
colorado|Prowers |Obj|T. Stevens|        1|0.0%|False
colorado|Prowers |PSL|G. La Riva|        1|0.0%|False
colorado|Prowers |Lib|G. Johnson|       47|1.0%|False
colorado|Prowers |Una|J. Reed|       12|0.2%|False
colorado|Prowers |AmC|V. Goode|       13|0.3%|False
colorado|Prowers |SEP|J. White|        1|0.0%|False
colorado|Prowers |JP|R. Anderson|        2|0.0%|False
colorado|Prowers |SPU|S. Alexander|        1|0.0%|False
colorado|Prowers |PFP|R. Barr|       16|0.3%|False
colorado|Prowers |Dem|B. Obama (i)|     1,498|31.1%|False
colorado|Prowers |ATP|M. Miller|        2|0.0%|False
colorado|Prowers |SWP|J. Harris|        0|0.0%|False
colorado|Prowers |Grn|J. Stein|       10|0.2%|False
colorado|Prowers |AmP|T. Hoefling|        3|0.1%|False
colorado|Prowers |GOP|M. Romney|     3,200|66.5%|True
colorado|El Paso |WTP|S. Tittle|       88|0.0%|False
colorado|El Paso |Obj|T. Stevens|       30|0.0%|False
colorado|El Paso |PSL|G. La Riva|       31|0.0%|False
colorado|El Paso |Lib|G. Johnson|     3,920|1.4%|False
colorado|El Paso |Una|J. Reed|      289|0.1%|False
colorado|El Paso |AmC|V. Goode|      764|0.3%|False
colorado|El Paso |SEP|J. White|       17|0.0%|False
colorado|El Paso |JP|R. Anderson|      144|0.1%|False
colorado|El Paso |SPU|S. Alexander|       28|0.0%|False
colorado|El Paso |PFP|R. Barr|      618|0.2%|False
colorado|El Paso |Dem|B. Obama (i)|   104,989|38.1%|False
colorado|El Paso |ATP|M. Miller|       23|0.0%|False
colorado|El Paso |SWP|J. Harris|       19|0.0%|False
colorado|El Paso |Grn|J. Stein|      731|0.3%|False
colorado|El Paso |AmP|T. Hoefling|       94|0.0%|False
colorado|El Paso |GOP|M. Romney|   163,819|59.4%|True
colorado|Alamosa |WTP|S. Tittle|        8|0.1%|False
colorado|Alamosa |Obj|T. Stevens|        0|0.0%|False
colorado|Alamosa |PSL|G. La Riva|        3|0.0%|False
colorado|Alamosa |Lib|G. Johnson|       73|1.1%|False
colorado|Alamosa |Una|J. Reed|       20|0.3%|False
colorado|Alamosa |AmC|V. Goode|       31|0.5%|False
colorado|Alamosa |SEP|J. White|        0|0.0%|False
colorado|Alamosa |JP|R. Anderson|        6|0.1%|False
colorado|Alamosa |SPU|S. Alexander|        1|0.0%|False
colorado|Alamosa |PFP|R. Barr|       27|0.4%|False
colorado|Alamosa |Dem|B. Obama (i)|     3,782|56.7%|True
colorado|Alamosa |ATP|M. Miller|        1|0.0%|False
colorado|Alamosa |AmP|T. Hoefling|        1|0.0%|False
colorado|Alamosa |Grn|J. Stein|       24|0.4%|False
colorado|Alamosa |SWP|J. Harris|        1|0.0%|False
colorado|Alamosa |GOP|M. Romney|     2,693|40.4%|False
colorado|Elbert |WTP|S. Tittle|        0|0.0%|False
colorado|Elbert |Obj|T. Stevens|        2|0.0%|False
colorado|Elbert |PSL|G. La Riva|        2|0.0%|False
colorado|Elbert |Lib|G. Johnson|      180|1.3%|False
colorado|Elbert |Una|J. Reed|       15|0.1%|False
colorado|Elbert |AmC|V. Goode|       43|0.3%|False
colorado|Elbert |SEP|J. White|        1|0.0%|False
colorado|Elbert |JP|R. Anderson|        4|0.0%|False
colorado|Elbert |SPU|S. Alexander|        0|0.0%|False
colorado|Elbert |PFP|R. Barr|       25|0.2%|False
colorado|Elbert |Dem|B. Obama (i)|     3,542|25.3%|False
colorado|Elbert |ATP|M. Miller|        0|0.0%|False
colorado|Elbert |SWP|J. Harris|        0|0.0%|False
colorado|Elbert |Grn|J. Stein|       23|0.2%|False
colorado|Elbert |AmP|T. Hoefling|        8|0.1%|False
colorado|Elbert |GOP|M. Romney|    10,148|72.5%|True
colorado|Teller |WTP|S. Tittle|        4|0.0%|False
colorado|Teller |Obj|T. Stevens|        3|0.0%|False
colorado|Teller |PSL|G. La Riva|        0|0.0%|False
colorado|Teller |Lib|G. Johnson|      211|1.7%|False
colorado|Teller |Una|J. Reed|        8|0.1%|False
colorado|Teller |AmC|V. Goode|       40|0.3%|False
colorado|Teller |SEP|J. White|        1|0.0%|False
colorado|Teller |JP|R. Anderson|        8|0.1%|False
colorado|Teller |SPU|S. Alexander|        0|0.0%|False
colorado|Teller |PFP|R. Barr|       25|0.2%|False
colorado|Teller |Dem|B. Obama (i)|     3,894|32.1%|False
colorado|Teller |ATP|M. Miller|        1|0.0%|False
colorado|Teller |AmP|T. Hoefling|        0|0.0%|False
colorado|Teller |Grn|J. Stein|       39|0.3%|False
colorado|Teller |SWP|J. Harris|        1|0.0%|False
colorado|Teller |GOP|M. Romney|     7,909|65.1%|True
colorado|Grand |WTP|S. Tittle|        2|0.0%|False
colorado|Grand |Obj|T. Stevens|        0|0.0%|False
colorado|Grand |PSL|G. La Riva|        1|0.0%|False
colorado|Grand |Lib|G. Johnson|      149|1.9%|False
colorado|Grand |Una|J. Reed|        5|0.1%|False
colorado|Grand |AmC|V. Goode|       23|0.3%|False
colorado|Grand |SEP|J. White|        0|0.0%|False
colorado|Grand |JP|R. Anderson|        6|0.1%|False
colorado|Grand |SPU|S. Alexander|        1|0.0%|False
colorado|Grand |PFP|R. Barr|       18|0.2%|False
colorado|Grand |Dem|B. Obama (i)|     3,575|44.9%|False
colorado|Grand |ATP|M. Miller|        0|0.0%|False
colorado|Grand |SWP|J. Harris|        0|0.0%|False
colorado|Grand |Grn|J. Stein|       29|0.4%|False
colorado|Grand |AmP|T. Hoefling|        3|0.0%|False
colorado|Grand |GOP|M. Romney|     4,149|52.1%|True
colorado|Mineral |WTP|S. Tittle|        2|0.3%|False
colorado|Mineral |Obj|T. Stevens|        0|0.0%|False
colorado|Mineral |PSL|G. La Riva|        0|0.0%|False
colorado|Mineral |Lib|G. Johnson|        6|0.9%|False
colorado|Mineral |Una|J. Reed|        1|0.2%|False
colorado|Mineral |AmC|V. Goode|        1|0.2%|False
colorado|Mineral |SEP|J. White|        0|0.0%|False
colorado|Mineral |JP|R. Anderson|        2|0.3%|False
colorado|Mineral |SPU|S. Alexander|        0|0.0%|False
colorado|Mineral |PFP|R. Barr|        2|0.3%|False
colorado|Mineral |Dem|B. Obama (i)|      291|44.8%|False
colorado|Mineral |ATP|M. Miller|        0|0.0%|False
colorado|Mineral |AmP|T. Hoefling|        0|0.0%|False
colorado|Mineral |Grn|J. Stein|        1|0.2%|False
colorado|Mineral |SWP|J. Harris|        0|0.0%|False
colorado|Mineral |GOP|M. Romney|      344|52.9%|True
colorado|Crowley |WTP|S. Tittle|        1|0.1%|False
colorado|Crowley |Obj|T. Stevens|        0|0.0%|False
colorado|Crowley |PSL|G. La Riva|        0|0.0%|False
colorado|Crowley |Lib|G. Johnson|       19|1.3%|False
colorado|Crowley |Una|J. Reed|        4|0.3%|False
colorado|Crowley |AmC|V. Goode|        8|0.5%|False
colorado|Crowley |SEP|J. White|        2|0.1%|False
colorado|Crowley |JP|R. Anderson|        0|0.0%|False
colorado|Crowley |SPU|S. Alexander|        0|0.0%|False
colorado|Crowley |PFP|R. Barr|        7|0.5%|False
colorado|Crowley |Dem|B. Obama (i)|      535|35.6%|False
colorado|Crowley |ATP|M. Miller|        0|0.0%|False
colorado|Crowley |AmP|T. Hoefling|        0|0.0%|False
colorado|Crowley |Grn|J. Stein|        2|0.1%|False
colorado|Crowley |SWP|J. Harris|        0|0.0%|False
colorado|Crowley |GOP|M. Romney|      924|61.5%|True
colorado|Summit |WTP|S. Tittle|        2|0.0%|False
colorado|Summit |Obj|T. Stevens|        1|0.0%|False
colorado|Summit |PSL|G. La Riva|        1|0.0%|False
colorado|Summit |Lib|G. Johnson|      255|1.7%|False
colorado|Summit |Una|J. Reed|       11|0.1%|False
colorado|Summit |AmC|V. Goode|       21|0.1%|False
colorado|Summit |SEP|J. White|        1|0.0%|False
colorado|Summit |JP|R. Anderson|        5|0.0%|False
colorado|Summit |SPU|S. Alexander|        2|0.0%|False
colorado|Summit |PFP|R. Barr|       21|0.1%|False
colorado|Summit |Dem|B. Obama (i)|     9,169|61.0%|True
colorado|Summit |ATP|M. Miller|        0|0.0%|False
colorado|Summit |AmP|T. Hoefling|        0|0.0%|False
colorado|Summit |Grn|J. Stein|       54|0.4%|False
colorado|Summit |SWP|J. Harris|        0|0.0%|False
colorado|Summit |GOP|M. Romney|     5,495|36.5%|False
colorado|Washington |WTP|S. Tittle|        2|0.1%|False
colorado|Washington |Obj|T. Stevens|        1|0.0%|False
colorado|Washington |PSL|G. La Riva|        0|0.0%|False
colorado|Washington |Lib|G. Johnson|       11|0.4%|False
colorado|Washington |Una|J. Reed|        8|0.3%|False
colorado|Washington |AmC|V. Goode|        9|0.4%|False
colorado|Washington |SEP|J. White|        1|0.0%|False
colorado|Washington |JP|R. Anderson|        1|0.0%|False
colorado|Washington |SPU|S. Alexander|        1|0.0%|False
colorado|Washington |PFP|R. Barr|        9|0.4%|False
colorado|Washington |Dem|B. Obama (i)|      461|18.0%|False
colorado|Washington |ATP|M. Miller|        1|0.0%|False
colorado|Washington |SWP|J. Harris|        0|0.0%|False
colorado|Washington |Grn|J. Stein|        1|0.0%|False
colorado|Washington |AmP|T. Hoefling|        2|0.1%|False
colorado|Washington |GOP|M. Romney|     2,059|80.2%|True
colorado|Ouray |WTP|S. Tittle|        0|0.0%|False
colorado|Ouray |Obj|T. Stevens|        0|0.0%|False
colorado|Ouray |PSL|G. La Riva|        0|0.0%|False
colorado|Ouray |Lib|G. Johnson|       37|1.2%|False
colorado|Ouray |Una|J. Reed|        3|0.1%|False
colorado|Ouray |AmC|V. Goode|       10|0.3%|False
colorado|Ouray |SEP|J. White|        1|0.0%|False
colorado|Ouray |JP|R. Anderson|        2|0.1%|False
colorado|Ouray |SPU|S. Alexander|        0|0.0%|False
colorado|Ouray |PFP|R. Barr|        5|0.2%|False
colorado|Ouray |Dem|B. Obama (i)|     1,640|51.5%|True
colorado|Ouray |ATP|M. Miller|        0|0.0%|False
colorado|Ouray |SWP|J. Harris|        0|0.0%|False
colorado|Ouray |Grn|J. Stein|       14|0.4%|False
colorado|Ouray |AmP|T. Hoefling|        1|0.0%|False
colorado|Ouray |GOP|M. Romney|     1,470|46.2%|False
colorado|Boulder |WTP|S. Tittle|       19|0.0%|False
colorado|Boulder |Obj|T. Stevens|       14|0.0%|False
colorado|Boulder |PSL|G. La Riva|        9|0.0%|False
colorado|Boulder |Lib|G. Johnson|     2,643|1.5%|False
colorado|Boulder |Una|J. Reed|       83|0.0%|False
colorado|Boulder |AmC|V. Goode|      252|0.1%|False
colorado|Boulder |SEP|J. White|       11|0.0%|False
colorado|Boulder |JP|R. Anderson|       97|0.1%|False
colorado|Boulder |SPU|S. Alexander|       14|0.0%|False
colorado|Boulder |PFP|R. Barr|      193|0.1%|False
colorado|Boulder |Dem|B. Obama (i)|   120,485|69.6%|True
colorado|Boulder |ATP|M. Miller|       15|0.0%|False
colorado|Boulder |SWP|J. Harris|        5|0.0%|False
colorado|Boulder |Grn|J. Stein|      824|0.5%|False
colorado|Boulder |AmP|T. Hoefling|       17|0.0%|False
colorado|Boulder |GOP|M. Romney|    48,526|28.0%|False
colorado|Kit Carson |WTP|S. Tittle|        1|0.0%|False
colorado|Kit Carson |Obj|T. Stevens|        0|0.0%|False
colorado|Kit Carson |PSL|G. La Riva|        1|0.0%|False
colorado|Kit Carson |Lib|G. Johnson|       28|0.8%|False
colorado|Kit Carson |Una|J. Reed|        7|0.2%|False
colorado|Kit Carson |AmC|V. Goode|       12|0.3%|False
colorado|Kit Carson |SEP|J. White|        1|0.0%|False
colorado|Kit Carson |JP|R. Anderson|        4|0.1%|False
colorado|Kit Carson |SPU|S. Alexander|        0|0.0%|False
colorado|Kit Carson |PFP|R. Barr|       13|0.4%|False
colorado|Kit Carson |Dem|B. Obama (i)|      789|22.4%|False
colorado|Kit Carson |ATP|M. Miller|        1|0.0%|False
colorado|Kit Carson |SWP|J. Harris|        1|0.0%|False
colorado|Kit Carson |Grn|J. Stein|        1|0.0%|False
colorado|Kit Carson |AmP|T. Hoefling|        2|0.1%|False
colorado|Kit Carson |GOP|M. Romney|     2,664|75.6%|True
colorado|Gilpin |WTP|S. Tittle|        1|0.0%|False
colorado|Gilpin |Obj|T. Stevens|        0|0.0%|False
colorado|Gilpin |PSL|G. La Riva|        0|0.0%|False
colorado|Gilpin |Lib|G. Johnson|       51|1.6%|False
colorado|Gilpin |Una|J. Reed|        6|0.2%|False
colorado|Gilpin |AmC|V. Goode|        8|0.2%|False
colorado|Gilpin |SEP|J. White|        0|0.0%|False
colorado|Gilpin |JP|R. Anderson|        4|0.1%|False
colorado|Gilpin |SPU|S. Alexander|        1|0.0%|False
colorado|Gilpin |PFP|R. Barr|       10|0.3%|False
colorado|Gilpin |Dem|B. Obama (i)|     1,854|56.7%|True
colorado|Gilpin |ATP|M. Miller|        0|0.0%|False
colorado|Gilpin |AmP|T. Hoefling|        0|0.0%|False
colorado|Gilpin |Grn|J. Stein|       16|0.5%|False
colorado|Gilpin |SWP|J. Harris|        0|0.0%|False
colorado|Gilpin |GOP|M. Romney|     1,320|40.4%|False
colorado|Phillips |WTP|S. Tittle|        0|0.0%|False
colorado|Phillips |Obj|T. Stevens|        0|0.0%|False
colorado|Phillips |PSL|G. La Riva|        0|0.0%|False
colorado|Phillips |Lib|G. Johnson|       15|0.7%|False
colorado|Phillips |Una|J. Reed|        5|0.2%|False
colorado|Phillips |AmC|V. Goode|        4|0.2%|False
colorado|Phillips |SEP|J. White|        0|0.0%|False
colorado|Phillips |JP|R. Anderson|        1|0.0%|False
colorado|Phillips |SPU|S. Alexander|        1|0.0%|False
colorado|Phillips |PFP|R. Barr|        9|0.4%|False
colorado|Phillips |Dem|B. Obama (i)|      588|26.0%|False
colorado|Phillips |ATP|M. Miller|        0|0.0%|False
colorado|Phillips |SWP|J. Harris|        0|0.0%|False
colorado|Phillips |Grn|J. Stein|        2|0.1%|False
colorado|Phillips |AmP|T. Hoefling|        3|0.1%|False
colorado|Phillips |GOP|M. Romney|     1,637|72.3%|True
colorado|Moffat |WTP|S. Tittle|        4|0.1%|False
colorado|Moffat |Obj|T. Stevens|        1|0.0%|False
colorado|Moffat |PSL|G. La Riva|        1|0.0%|False
colorado|Moffat |Lib|G. Johnson|       61|1.0%|False
colorado|Moffat |Una|J. Reed|       10|0.2%|False
colorado|Moffat |AmC|V. Goode|       25|0.4%|False
colorado|Moffat |SEP|J. White|        0|0.0%|False
colorado|Moffat |JP|R. Anderson|        2|0.0%|False
colorado|Moffat |SPU|S. Alexander|        0|0.0%|False
colorado|Moffat |PFP|R. Barr|       20|0.3%|False
colorado|Moffat |Dem|B. Obama (i)|     1,291|21.4%|False
colorado|Moffat |ATP|M. Miller|        0|0.0%|False
colorado|Moffat |AmP|T. Hoefling|        0|0.0%|False
colorado|Moffat |Grn|J. Stein|       11|0.2%|False
colorado|Moffat |SWP|J. Harris|        0|0.0%|False
colorado|Moffat |GOP|M. Romney|     4,616|76.4%|True
colorado|Lincoln |WTP|S. Tittle|        0|0.0%|False
colorado|Lincoln |Obj|T. Stevens|        0|0.0%|False
colorado|Lincoln |PSL|G. La Riva|        1|0.0%|False
colorado|Lincoln |Lib|G. Johnson|       14|0.6%|False
colorado|Lincoln |Una|J. Reed|        5|0.2%|False
colorado|Lincoln |AmC|V. Goode|        9|0.4%|False
colorado|Lincoln |SEP|J. White|        2|0.1%|False
colorado|Lincoln |JP|R. Anderson|        2|0.1%|False
colorado|Lincoln |SPU|S. Alexander|        0|0.0%|False
colorado|Lincoln |PFP|R. Barr|        8|0.4%|False
colorado|Lincoln |Dem|B. Obama (i)|      537|23.9%|False
colorado|Lincoln |ATP|M. Miller|        2|0.1%|False
colorado|Lincoln |SWP|J. Harris|        0|0.0%|False
colorado|Lincoln |Grn|J. Stein|        4|0.2%|False
colorado|Lincoln |AmP|T. Hoefling|        1|0.0%|False
colorado|Lincoln |GOP|M. Romney|     1,663|74.0%|True
colorado|Chaffee |WTP|S. Tittle|        6|0.1%|False
colorado|Chaffee |Obj|T. Stevens|        0|0.0%|False
colorado|Chaffee |PSL|G. La Riva|        1|0.0%|False
colorado|Chaffee |Lib|G. Johnson|      151|1.5%|False
colorado|Chaffee |Una|J. Reed|       15|0.1%|False
colorado|Chaffee |AmC|V. Goode|       33|0.3%|False
colorado|Chaffee |SEP|J. White|        0|0.0%|False
colorado|Chaffee |JP|R. Anderson|        7|0.1%|False
colorado|Chaffee |SPU|S. Alexander|        1|0.0%|False
colorado|Chaffee |PFP|R. Barr|       32|0.3%|False
colorado|Chaffee |Dem|B. Obama (i)|     4,967|48.6%|True
colorado|Chaffee |ATP|M. Miller|        2|0.0%|False
colorado|Chaffee |SWP|J. Harris|        0|0.0%|False
colorado|Chaffee |Grn|J. Stein|       49|0.5%|False
colorado|Chaffee |AmP|T. Hoefling|        4|0.0%|False
colorado|Chaffee |GOP|M. Romney|     4,949|48.4%|False
colorado|Pitkin |WTP|S. Tittle|        0|0.0%|False
colorado|Pitkin |Obj|T. Stevens|        3|0.0%|False
colorado|Pitkin |PSL|G. La Riva|        0|0.0%|False
colorado|Pitkin |Lib|G. Johnson|      128|1.3%|False
colorado|Pitkin |Una|J. Reed|        0|0.0%|False
colorado|Pitkin |AmC|V. Goode|        7|0.1%|False
colorado|Pitkin |SEP|J. White|        0|0.0%|False
colorado|Pitkin |JP|R. Anderson|        8|0.1%|False
colorado|Pitkin |SPU|S. Alexander|        1|0.0%|False
colorado|Pitkin |PFP|R. Barr|        6|0.1%|False
colorado|Pitkin |Dem|B. Obama (i)|     6,648|68.0%|True
colorado|Pitkin |ATP|M. Miller|        0|0.0%|False
colorado|Pitkin |AmP|T. Hoefling|        1|0.0%|False
colorado|Pitkin |Grn|J. Stein|       35|0.4%|False
colorado|Pitkin |SWP|J. Harris|        1|0.0%|False
colorado|Pitkin |GOP|M. Romney|     2,941|30.1%|False
colorado|Garfield |WTP|S. Tittle|       11|0.0%|False
colorado|Garfield |Obj|T. Stevens|        1|0.0%|False
